/usr/bin/gcc -std=gnu99 -Wall -fPIC -pthread -O2 -c *.c
/usr/bin/gcc -shared -Wl,-soname,libGSDDict.so.1 -o libGSDDict.so.1.0 *.o
ln -sf libGSDDict.so.1.0 libGSDDict.so.1
ln -sd libGSDDict.so.1.0 libGSDDict.so
/usr/bin/gcc -std=gnu99 -Wall -fPIC -pthread -O2 -I. -L. test/performance.c -lGSDDict -lpthread -lrt -operformance.run
LD_LIBRARY_PATH="." ./performance.run
Type, Max Epochs, Threads, Slots, Max Imbalance, Operations, Time, Rebalanced, Used Epochs
INSERT, 16, 4, 512, 16, 200000, 2:313773526, 3012, 16
LOOKUP, 16, 4, 512, 16, 200000, 0:211636675, 3012, 16
INSERT, 16, 4, 512, 32, 200000, 2:230105441, 1500, 16
LOOKUP, 16, 4, 512, 32, 200000, 0:213204085, 1500, 16
INSERT, 16, 4, 512, 64, 200000, 2:362951886, 1024, 16
LOOKUP, 16, 4, 512, 64, 200000, 0:266076030, 1024, 16
INSERT, 16, 4, 512, 128, 200000, 2:784022256, 512, 14
LOOKUP, 16, 4, 512, 128, 200000, 0:253292127, 512, 14
INSERT, 16, 4, 512, 256, 200000, 4:926015857, 18563, 16
LOOKUP, 16, 4, 512, 256, 200000, 0:203998179, 18563, 16
INSERT, 16, 4, 512, 512, 200000, 4:660591093, 15880, 16
LOOKUP, 16, 4, 512, 512, 200000, 0:214780466, 15880, 16
INSERT, 16, 8, 8, 8, 200000, 122:619458798, 3086, 16
LOOKUP, 16, 8, 8, 8, 200000, 0:204887120, 3086, 16
INSERT, 16, 8, 8, 16, 200000, 68:351191182, 1549, 16
LOOKUP, 16, 8, 8, 16, 200000, 0:211862863, 1549, 16
INSERT, 16, 8, 8, 32, 200000, 37:509787887, 774, 11
LOOKUP, 16, 8, 8, 32, 200000, 0:197182367, 774, 11
INSERT, 16, 8, 8, 64, 200000, 21:973842328, 385, 7
LOOKUP, 16, 8, 8, 64, 200000, 0:203118950, 385, 7
INSERT, 16, 8, 8, 128, 200000, 11:887903689, 192, 3
LOOKUP, 16, 8, 8, 128, 200000, 0:213087312, 192, 3
INSERT, 16, 8, 8, 256, 200000, 306:928885880, 9092, 16
LOOKUP, 16, 8, 8, 256, 200000, 0:203146787, 9092, 16
INSERT, 16, 8, 8, 512, 200000, 319:624121627, 9182, 16
LOOKUP, 16, 8, 8, 512, 200000, 0:197752273, 9182, 16
INSERT, 16, 8, 16, 8, 200000, 59:922575527, 3424, 16
LOOKUP, 16, 8, 16, 8, 200000, 0:223622101, 3424, 16
INSERT, 16, 8, 16, 16, 200000, 33:994489070, 1681, 14
LOOKUP, 16, 8, 16, 16, 200000, 0:232388291, 1681, 14
INSERT, 16, 8, 16, 32, 200000, 17:404589388, 776, 16
LOOKUP, 16, 8, 16, 32, 200000, 0:228853731, 776, 16
INSERT, 16, 8, 16, 64, 200000, 8:983212169, 398, 8
LOOKUP, 16, 8, 16, 64, 200000, 0:217437279, 398, 8
INSERT, 16, 8, 16, 128, 200000, 5:771379714, 192, 8
LOOKUP, 16, 8, 16, 128, 200000, 0:227576815, 192, 8
INSERT, 16, 8, 16, 256, 200000, 155:215782257, 10345, 16
LOOKUP, 16, 8, 16, 256, 200000, 0:220235904, 10345, 16
INSERT, 16, 8, 16, 512, 200000, 149:607357692, 10043, 16
LOOKUP, 16, 8, 16, 512, 200000, 0:216932867, 10043, 16
INSERT, 16, 8, 32, 8, 200000, 26:175263665, 3712, 16
LOOKUP, 16, 8, 32, 8, 200000, 0:221912757, 3712, 16
INSERT, 16, 8, 32, 16, 200000, 14:685948006, 1842, 14
LOOKUP, 16, 8, 32, 16, 200000, 0:233398369, 1842, 14
INSERT, 16, 8, 32, 32, 200000, 7:920464235, 829, 9
LOOKUP, 16, 8, 32, 32, 200000, 0:241452811, 829, 9
INSERT, 16, 8, 32, 64, 200000, 4:777416892, 383, 13
LOOKUP, 16, 8, 32, 64, 200000, 0:239898542, 383, 13
INSERT, 16, 8, 32, 128, 200000, 3:530475604, 192, 5
LOOKUP, 16, 8, 32, 128, 200000, 0:243134317, 192, 5
INSERT, 16, 8, 32, 256, 200000, 67:35512445, 10652, 16
LOOKUP, 16, 8, 32, 256, 200000, 0:220619074, 10652, 16
INSERT, 16, 8, 32, 512, 200000, 64:556205525, 10474, 16
LOOKUP, 16, 8, 32, 512, 200000, 0:224875450, 10474, 16
INSERT, 16, 8, 64, 8, 200000, 10:674451210, 3878, 16
LOOKUP, 16, 8, 64, 8, 200000, 0:225161541, 3878, 16
INSERT, 16, 8, 64, 16, 200000, 6:58547831, 1695, 16
LOOKUP, 16, 8, 64, 16, 200000, 0:225486528, 1695, 16
INSERT, 16, 8, 64, 32, 200000, 3:520937147, 768, 16
LOOKUP, 16, 8, 64, 32, 200000, 0:224233259, 768, 16
INSERT, 16, 8, 64, 64, 200000, 2:700808794, 384, 12
LOOKUP, 16, 8, 64, 64, 200000, 0:249373613, 384, 12
INSERT, 16, 8, 64, 128, 200000, 2:707162513, 192, 9
LOOKUP, 16, 8, 64, 128, 200000, 0:246766294, 192, 9
INSERT, 16, 8, 64, 256, 200000, 26:130341848, 10079, 16
LOOKUP, 16, 8, 64, 256, 200000, 0:221637550, 10079, 16
INSERT, 16, 8, 64, 512, 200000, 25:609353291, 10144, 16
LOOKUP, 16, 8, 64, 512, 200000, 0:215572397, 10144, 16
INSERT, 16, 8, 128, 8, 200000, 5:464308481, 3627, 16
LOOKUP, 16, 8, 128, 8, 200000, 0:224829752, 3627, 16
INSERT, 16, 8, 128, 16, 200000, 3:723257970, 1662, 16
LOOKUP, 16, 8, 128, 16, 200000, 0:217495048, 1662, 16
INSERT, 16, 8, 128, 32, 200000, 2:710580390, 896, 16
LOOKUP, 16, 8, 128, 32, 200000, 0:242182944, 896, 16
INSERT, 16, 8, 128, 64, 200000, 2:168826483, 259, 11
LOOKUP, 16, 8, 128, 64, 200000, 0:302960026, 259, 11
